DD-MM-YYYY,Danube,Budapest,France
3/27/2002,6970,7455,193.411
3/28/2002,6950,6668,184.284
3/29/2002,7030,5315,177.126
3/30/2002,7260,4551,170.379
3/31/2002,7390,3864,149.396
4/1/2002,7440,3539,137.223
4/2/2002,7550,3365,126.745
4/3/2002,7630,3340,133.811
4/4/2002,7770,3196,144.606
4/5/2002,7860,3012,146.895
4/6/2002,8060,2948,149.423
4/7/2002,8110,2793,131.648
4/8/2002,8110,2578,124.096
4/9/2002,8110,2385,126.971
4/10/2002,8140,2223,144.318
4/11/2002,8230,2255,149.054
4/12/2002,8170,2197,149.007
4/13/2002,8110,2152,166.231
4/14/2002,7940,2133,142.237
4/15/2002,7720,2099,131.5
4/16/2002,7500,2106,124.529
4/17/2002,7340,2097,121.122
4/18/2002,7230,2150,126.042
4/19/2002,7160,2136,129.18
4/20/2002,7180,2078,115.185
4/21/2002,7290,2020,110.065
4/22/2002,7390,1980,95.048
4/23/2002,7440,1986,97.246
4/24/2002,7550,1947,96.951
4/25/2002,7660,1977,90.135
4/26/2002,7770,2362,92.144
4/27/2002,7910,2600,84.714
4/28/2002,8060,2695,83.117
4/29/2002,8140,2804,83.598
4/30/2002,8200,2730,83.907
5/1/2002,8170,2607,88.986
5/2/2002,8140,2580,98.738
5/3/2002,8080,2475,98.276
5/4/2002,8080,2450,112.142
5/5/2002,8000,2570,98.927
5/6/2002,7940,2796,92.813
5/7/2002,7970,2852,82.723
5/8/2002,7940,2752,93.753
5/9/2002,7880,2615,85.557
5/10/2002,7830,2535,90.958
5/11/2002,7770,2452,332.73
5/12/2002,7690,2479,383.153
5/13/2002,7550,2463,254.704
5/14/2002,7470,2479,208.468
5/15/2002,7340,2531,194.565
5/16/2002,7180,2566,163.981
5/17/2002,7030,2468,137.468
5/18/2002,6870,2322,122.096
5/19/2002,6660,2299,113.032
5/20/2002,6580,2322,111.218
5/21/2002,6510,2530,109.076
5/22/2002,6400,2740,103.331
5/23/2002,6300,2800,130.752
5/24/2002,6190,2560,206.75
5/25/2002,6040,2500,178.037
5/26/2002,5960,2390,157.187
5/27/2002,5830,2260,140.741
5/28/2002,5780,2190,142.907
5/29/2002,5730,2370,173.496
5/30/2002,5750,2520,162.957
5/31/2002,5620,2480,152.077
6/1/2002,5550,2480,129.088
6/2/2002,5520,2280,115.104
6/3/2002,5570,2080,101.382
6/4/2002,5780,1930,103.244
6/5/2002,5930,1970,226.218
6/6/2002,6010,2020,779.848
6/7/2002,6140,2040,628.714
6/8/2002,6250,2230,406.417
6/9/2002,6350,3330,298.439
6/10/2002,6480,3540,257.001
6/11/2002,6560,3580,228.631
6/12/2002,6400,3330,196.975
6/13/2002,6300,3310,171.089
6/14/2002,6190,3030,147.751
6/15/2002,6040,2700,136.936
6/16/2002,5930,2410,122.129
6/17/2002,5930,2370,104.062
6/18/2002,6040,2280,95.028
6/19/2002,6250,2250,101.41
6/20/2002,6400,2250,96.33
6/21/2002,6400,2250,107.971
6/22/2002,6350,2240,99.504
6/23/2002,6270,2230,89.681
6/24/2002,6170,2210,80.584
6/25/2002,5960,2250,75.556
6/26/2002,5670,1980,74.765
6/27/2002,5470,2120,69.497
6/28/2002,5280,2260,67.317
6/29/2002,5100,2170,66.889
6/30/2002,4890,1970,67.282
7/1/2002,4800,2160,64.272
7/2/2002,4730,1930,61.511
7/3/2002,4640,1900,59.566
7/4/2002,4590,1750,62.259
7/5/2002,4460,1750,65.692
7/6/2002,4280,1860,70.268
7/7/2002,4200,2070,76.264
7/8/2002,4160,1930,69.085
7/9/2002,4160,1920,65.454
7/10/2002,4120,1880,69.622
7/11/2002,4080,1880,81.587
7/12/2002,4040,1840,93.337
7/13/2002,4000,1670,87.52
7/14/2002,4000,1620,85.204
7/15/2002,3890,1640,78.533
7/16/2002,3860,1730,69.876
7/17/2002,3860,1830,70.807
7/18/2002,3890,1830,70.508
7/19/2002,3930,2320,70.432
7/20/2002,3960,3110,66.022
7/21/2002,3960,2960,57.891
7/22/2002,3930,2600,54.367
7/23/2002,3890,2160,52.983
7/24/2002,3780,2000,52.305
7/25/2002,3780,1950,51.88
7/26/2002,3860,1830,51.291
7/27/2002,3960,1750,51.28
7/28/2002,4160,1910,51.856
7/29/2002,4410,1840,52.21
7/30/2002,4520,1840,51.816
7/31/2002,4760,1700,55.159
8/1/2002,4870,1620,64.005
8/2/2002,4890,1750,73.34
8/3/2002,4870,1730,70.467
8/4/2002,4730,1910,66.594
8/5/2002,4590,2020,63.972
8/6/2002,4460,1970,61.254
8/7/2002,4370,1910,61.269
8/8/2002,4410,2340,59.831
8/9/2002,4520,3880,59.772
8/10/2002,4550,4980,64.43
8/11/2002,4570,5580,71.156
8/12/2002,4640,5130,70.66
8/13/2002,4780,4722,74.657
8/14/2002,4640,5393,77.697
8/15/2002,4690,6277,75.441
8/16/2002,4960,7343,66.468
8/17/2002,5330,8155,58.114
8/18/2002,5830,8859,56.551
8/19/2002,6480,8688,53.713
8/20/2002,7130,7742,52.633
8/21/2002,7610,6189,91.915
8/22/2002,8060,4838,115.334
8/23/2002,8350,4025,86.699
8/24/2002,8380,3940,71.164
8/25/2002,8410,3515,67.808
8/26/2002,8500,3003,83.573
8/27/2002,8530,2670,128.79
8/28/2002,8530,2600,165.682
8/29/2002,8560,2580,149.469
8/30/2002,8650,2630,149.802
8/31/2002,8710,2580,138.57
9/1/2002,8710,2370,118.573
9/2/2002,8710,2240,89.948
9/3/2002,8650,2330,85.607
9/4/2002,8590,2560,83.886
9/5/2002,8440,2570,76.458
9/6/2002,8140,2540,79.943
9/7/2002,7770,2390,70.83
9/8/2002,7440,2300,72.746
9/9/2002,7080,2280,69.865
9/10/2002,6740,2070,74.202
9/11/2002,6250,1880,77.042
9/12/2002,5930,1900,77.524
9/13/2002,5670,2040,71.762
9/14/2002,5520,2040,67.952
9/15/2002,5380,1830,67.315
9/16/2002,5240,1740,65.877
9/17/2002,5080,1670,63.047
9/18/2002,4780,1750,70.169
9/19/2002,4780,1700,84.604
9/20/2002,4640,1670,89.961
9/21/2002,4500,1637,90.7
9/22/2002,4480,1702,87.786
9/23/2002,4430,1892,77.468
9/24/2002,4370,2241,76.741
9/25/2002,4350,2633,78.853
9/26/2002,4350,2120,67.363
9/27/2002,4280,3060,62.407
9/28/2002,4220,3332,57.473
9/29/2002,4240,3811,57.395
9/30/2002,4460,3858,57.405
10/1/2002,4640,3287,55.986
10/2/2002,4820,2995,53.891
10/3/2002,5050,2712,58.578
10/4/2002,5570,2478,64.34
10/5/2002,6060,2324,63.774
10/6/2002,6510,2192,59.513
10/7/2002,6950,2362,58.426
10/8/2002,7440,2460,58.125
10/9/2002,7720,2636,59.305
10/10/2002,7880,2742,60.607
10/11/2002,8000,2675,66.694
10/12/2002,7800,2415,69.098
10/13/2002,7720,2428,69.561
10/14/2002,7520,2752,64.351
10/15/2002,7390,3133,62.938
10/16/2002,7050,2958,66.353
10/17/2002,6840,2806,72.117
10/18/2002,6820,2850,76.308
10/19/2002,6900,3098,81.767
10/20/2002,7050,3703,80.898
10/21/2002,7290,3780,78.563
10/22/2002,7470,3516,85.259
10/23/2002,7660,3226,101.493
10/24/2002,7720,3130,123.463
10/25/2002,7800,2917,126.621
10/26/2002,7830,2880,151.494
10/27/2002,7830,2665,200.273
10/28/2002,7720,2797,175.103
10/29/2002,7610,3030,125.002
10/30/2002,7550,2990,128.491
10/31/2002,7660,2956,114.158
11/1/2002,7770,2907,107.282
11/2/2002,7830,3010,108.214
11/3/2002,7910,3065,96.627
11/4/2002,8000,3285,117.138
11/5/2002,8230,3712,145.645
11/6/2002,8230,4470,147.04
11/7/2002,8230,4845,165.795
11/8/2002,8350,4728,199.171
11/9/2002,8230,4273,262.728
11/10/2002,8170,4090,387.245
11/11/2002,8290,4105,383.062
11/12/2002,8500,4332,408.633
11/13/2002,8590,4445,360.889
11/14/2002,8800,4843,318.092
11/15/2002,8800,4844,283.272
11/16/2002,8830,4525,254.749
11/17/2002,8960,4192,223.516
11/18/2002,8960,4083,214.941
11/19/2002,8960,4063,180.815
11/20/2002,9030,3813,160.15
11/21/2002,8960,3670,158.039
11/22/2002,8830,3590,183.894
11/23/2002,8860,3580,283.05
11/24/2002,8830,3780,383.944
11/25/2002,8830,3937,340.881
11/26/2002,8830,3730,637.596
11/27/2002,8830,3476,537.47
11/28/2002,8830,3293,374.416
11/29/2002,8830,3180,355.275
11/30/2002,8900,3032,436.235
12/1/2002,9090,3010,458.987
12/2/2002,9130,2930,621.528
12/3/2002,9130,3010,583.777
12/4/2002,9130,3165,459.711
12/5/2002,9090,3132,405.958
12/6/2002,9030,3138,453.471
12/7/2002,9090,2958,415.373
12/8/2002,9160,2696,367.683
12/9/2002,9300,2575,334.048
12/10/2002,9430,2490,325.673
12/11/2002,9430,2410,315.016
12/12/2002,9330,2240,281.079
12/13/2002,9260,2098,268.766
12/14/2002,9090,2028,256.155
12/15/2002,9000,1970,249.152
12/16/2002,8960,1862,377.527
12/17/2002,8830,1772,515.598
12/18/2002,8650,1778,458.671
12/19/2002,8470,2023,403.909
12/20/2002,8200,2034,345.085
12/21/2002,8000,2013,313.923
12/22/2002,7720,1985,304.954
12/23/2002,7470,1963,299.465
12/24/2002,7310,3096,293.451
12/25/2002,7100,3832,308.101
12/26/2002,6970,3600,391.691
12/27/2002,6820,3168,476.571
12/28/2002,6560,2655,455.881
12/29/2002,6480,2560,449.78
12/30/2002,6480,2430,473.596
12/31/2002,6530,2975,471.207
