DD-MM-YYYY,Danube,Budapest,France
7/6/2000,4350,1989,71.9
7/7/2000,4240,2028,67.302
7/8/2000,4220,2042,68.582
7/9/2000,4290,1947,69.363
7/10/2000,4310,2117,79.733
7/11/2000,4240,2222,119.288
7/12/2000,4330,2219,166.821
7/13/2000,4450,2447,196.485
7/14/2000,4480,2856,188.612
7/15/2000,4290,2916,162.11
7/16/2000,4160,2798,151.981
7/17/2000,4080,2706,133.107
7/18/2000,3930,2840,115.004
7/19/2000,3840,2894,103.015
7/20/2000,3760,2828,91.31
7/21/2000,3700,2558,78.077
7/22/2000,3700,2297,70.966
7/23/2000,3820,2166,62.497
7/24/2000,3990,2024,77.355
7/25/2000,4120,1880,72.3
7/26/2000,4290,1884,136.73
7/27/2000,4450,2119,141.477
7/28/2000,4580,2255,146.231
7/29/2000,4720,2344,138.826
7/30/2000,4810,2505,129.499
7/31/2000,4720,2710,93.576
8/1/2000,4600,2983,96.489
8/2/2000,4540,2951,93.134
8/3/2000,4450,2654,75.369
8/4/2000,4330,2485,86.065
8/5/2000,4240,2581,82.265
8/6/2000,4160,2953,82.85
8/7/2000,4120,3116,72.164
8/8/2000,4160,3538,66.524
8/9/2000,4200,4090,67.907
8/10/2000,4330,4192,65.937
8/11/2000,4430,4080,59.757
8/12/2000,4520,3759,54.274
8/13/2000,4600,3191,54.182
8/14/2000,4700,2761,54.261
8/15/2000,4720,2495,54.235
8/16/2000,4740,2395,51.315
8/17/2000,4700,2342,45.458
8/18/2000,4630,2223,44.438
8/19/2000,4540,2172,41.37
8/20/2000,4540,2150,42.553
8/21/2000,4630,1996,47.288
8/22/2000,4760,1890,52.349
8/23/2000,4810,1810,56.801
8/24/2000,4860,1846,52.238
8/25/2000,4720,1848,46.031
8/26/2000,4600,1826,49.16
8/27/2000,4560,1736,52.751
8/28/2000,4520,1623,56.614
8/29/2000,4410,1460,62.055
8/30/2000,4200,1552,55.053
8/31/2000,3990,1762,54.449
9/1/2000,3870,1663,63.846
9/2/2000,3820,1614,67.232
